USER	Operation	Date/time
марина	1+1	сб 2017.12.02 и время 06:43:21 ПП GMT+03:00
марина	2.0+2	сб 2017.12.02 и время 06:43:24 ПП GMT+03:00
марина	4.0*2	сб 2017.12.02 и время 06:43:27 ПП GMT+03:00
марина	8.0+1	сб 2017.12.02 и время 06:43:29 ПП GMT+03:00
марина	9.0/3	сб 2017.12.02 и время 06:43:31 ПП GMT+03:00
марина	3.0+4	сб 2017.12.02 и время 06:43:34 ПП GMT+03:00
марина	7.0+5	сб 2017.12.02 и время 06:43:36 ПП GMT+03:00
марина	12.0/3	сб 2017.12.02 и время 06:43:39 ПП GMT+03:00
марина	4.0*5	сб 2017.12.02 и время 06:43:41 ПП GMT+03:00
марина	20.0+2	сб 2017.12.02 и время 06:43:43 ПП GMT+03:00
